o_O2,o_ventilator,o_nonO2,o_ICU,a_ventilator,a_nonO2,a_O2,a_ICU,name,date
2489,667,136,1631,110,800,3260,916,All Hospitals,2021-05-26T11:36:19.261Z
175,177,0,225,2,0,415,85,GMC,2021-05-26T11:36:19.443Z
168,100,0,133,2,0,270,3,IGGMC,2021-05-26T11:36:19.623Z
45,0,20,18,0,191,47,29,AIIMS Hospital,2021-05-26T11:36:19.787Z
28,0,0,0,0,2,62,0,Indira Gandhi Rugnalaya Gandhi Nagar,2021-05-26T11:36:19.960Z
32,0,0,0,0,0,0,0,Isolation Hospital Imamwada,2021-05-26T11:36:20.129Z
5,0,0,0,0,0,37,0,Ayush Hopital (NMC Sadar),2021-05-26T11:36:20.286Z
40,0,0,0,0,10,28,0,Pachpaoli DCHC Center,2021-05-26T11:36:20.460Z
174,9,0,10,0,0,10,0,Lata Mangeshkar Hospital Hingna (S.G.),2021-05-26T11:36:20.614Z
15,7,0,14,0,14,25,0,Lata Mangeshkar Hospital Sitabuldi (S.G.),2021-05-26T11:36:20.787Z
34,9,0,9,6,20,316,6,Shalinitai Meghe Hospital (S.G.),2021-05-26T11:36:20.960Z
6,0,0,0,0,0,44,0,Panchpaoli Womens Hospital,2021-05-26T11:36:21.129Z
8,0,0,0,0,0,36,0,K.T. Nagar NMC Hospital,2021-05-26T11:36:21.302Z
4,0,0,0,0,0,43,22,Railway Hospital,2021-05-26T11:36:21.470Z
0,5,0,4,0,0,11,14,Orange City Hospital,2021-05-26T11:36:21.640Z
57,11,0,15,0,0,0,0,CIIMS Hospital,2021-05-26T11:36:21.802Z
0,0,0,3,1,0,0,11,Treat Me Hospital,2021-05-26T11:36:21.972Z
9,0,0,3,2,0,2,4,Kalpavruksha Hospital,2021-05-26T11:36:22.130Z
14,0,0,5,0,0,1,0,Grace Ortho Hospital,2021-05-26T11:36:22.286Z
5,2,0,3,2,13,15,30,Nucleus Mother and Child Hospital,2021-05-26T11:36:22.452Z
1,3,6,3,2,4,25,6,Swasthyam Superspeciality Hospital,2021-05-26T11:36:22.614Z
15,1,0,4,0,0,0,0,Maxcare Hospital,2021-05-26T11:36:22.771Z
0,0,0,0,0,0,0,0,S S Multispeciality Hospital,2021-05-26T11:36:22.920Z
6,1,0,4,0,0,0,0,Athaayu Multispeciality Hospital,2021-05-26T11:36:23.240Z
23,0,0,27,0,0,0,0,Central India Cardiology Hospital,2021-05-26T11:36:23.390Z
4,1,0,5,0,0,10,0,Sanjeevani Hospital (Laxminagar),2021-05-26T11:36:23.546Z
19,10,0,15,0,4,43,13,Wockhardt Hospita Gandhi Nagar,2021-05-26T11:36:23.719Z
47,14,0,17,0,0,0,0,Wockhardt Hospital Shankar Nagar,2021-05-26T11:36:23.880Z
26,10,0,20,0,0,4,0,Viveka Superspeciality Hospital,2021-05-26T11:36:24.036Z
65,14,0,51,0,0,0,0,Meditrina Hospital,2021-05-26T11:36:24.427Z
6,1,1,5,5,0,36,5,Ganga Care Hospital,2021-05-26T11:36:24.583Z
43,5,0,17,0,0,0,0,Sushrut Hospital,2021-05-26T11:36:24.740Z
38,2,0,8,0,0,0,0,Ayushman Hospital,2021-05-26T11:36:24.906Z
3,2,0,7,0,0,0,1,Respira Hospital,2021-05-26T11:36:25.076Z
17,0,2,18,0,13,0,0,Sunflower Hospital,2021-05-26T11:36:25.253Z
2,0,0,0,0,3,8,12,Sengupta Hospital,2021-05-26T11:36:25.411Z
17,4,0,9,0,0,0,0,Krims Hospital,2021-05-26T11:36:25.561Z
3,3,0,19,0,0,0,0,Swastik Critical Care,2021-05-26T11:36:25.719Z
8,0,0,6,0,0,0,0,Medigrace Hospital,2021-05-26T11:36:25.891Z
13,3,0,10,0,0,2,0,Shraman Hospital,2021-05-26T11:36:26.045Z
0,5,0,36,0,0,0,12,Aditya hospital,2021-05-26T11:36:26.218Z
20,0,0,0,0,0,4,0,Zenith Hospital,2021-05-26T11:36:26.389Z
14,2,0,7,0,0,1,0,G.B. Multicare Hospital,2021-05-26T11:36:26.703Z
