o_O2,o_ventilator,o_nonO2,o_ICU,a_ventilator,a_nonO2,a_O2,a_ICU,name,date
4259,742,267,2269,27,434,1639,325,All Hospitals,2021-05-16T02:28:13.368Z
355,177,0,295,2,0,235,15,GMC,2021-05-16T02:28:13.524Z
384,102,0,136,0,0,2,0,IGGMC,2021-05-16T02:28:16.155Z
80,5,95,0,0,0,0,0,AIIMS Hospital,2021-05-16T02:28:18.812Z
66,0,0,0,0,2,24,0,Indira Gandhi Rugnalaya Gandhi Nagar,2021-05-16T02:28:18.990Z
32,0,0,0,0,0,0,0,Isolation Hospital Imamwada,2021-05-16T02:28:21.663Z
9,0,0,0,0,0,33,0,Ayush Hopital (NMC Sadar),2021-05-16T02:28:24.316Z
78,0,0,0,0,0,0,0,Pachpaoli DCHC Center,2021-05-16T02:28:26.881Z
174,9,0,10,0,0,10,0,Lata Mangeshkar Hospital Hingna (S.G.),2021-05-16T02:28:27.060Z
15,7,0,14,0,14,25,0,Lata Mangeshkar Hospital Sitabuldi (S.G.),2021-05-16T02:28:29.624Z
270,15,0,15,0,0,20,0,Shalinitai Meghe Hospital (S.G.),2021-05-16T02:28:29.788Z
110,0,0,0,0,0,0,0,Panchpaoli Womens Hospital,2021-05-16T02:28:32.377Z
45,0,0,0,0,0,15,0,K.T. Nagar NMC Hospital,2021-05-16T02:28:32.545Z
10,0,0,5,0,0,37,17,Railway Hospital,2021-05-16T02:28:35.128Z
24,5,0,45,0,0,7,0,Orange City Hospital,2021-05-16T02:28:37.706Z
57,11,0,15,0,0,0,0,CIIMS Hospital,2021-05-16T02:28:37.860Z
0,0,0,15,0,0,0,0,Treat Me Hospital,2021-05-16T02:28:40.504Z
16,3,0,6,0,0,18,0,Kalpavruksha Hospital,2021-05-16T02:28:40.679Z
14,0,0,5,0,0,1,0,Grace Ortho Hospital,2021-05-16T02:28:43.228Z
23,4,0,33,0,0,0,0,Nucleus Mother and Child Hospital,2021-05-16T02:28:43.376Z
